label,class_name,species,genus,family,order
45,flax budworm,Heliothis,Heliothis,Noctuidae,Lepidoptera
46,alfalfa plant bug,Adelphocoris lineolatus,Adelphocoris,Miridae,Hemiptera
47,tarnished plant bug,Lygus lineolaris,Lygus,Miridae,Hemiptera
48,Locustoidea,,,Acrididae,Orthoptera
49,lytta polita,Lytta polita,Lytta,Meloidae,Coleoptera
50,legume blister beetle,Mylabris,Mylabris,Meloidae,Coleoptera
51,blister beetle,,,Meloidae,Coleoptera
52,therioaphis maculata Buckton,Therioaphis maculata,Therioaphis,Aphididae,Hemiptera
53,odontothrips loti,Odontothrips loti,Odontothrips,Thripidae,Thysanoptera
54,Thrips,,,Thripidae,Thysanoptera
55,alfalfa seed chalcid,Bruchophagus roddi,Bruchophagus,Eurytomidae,Hymenoptera
56,Pieris canidia,Pieris canidia,Pieris,Pieridae,Lepidoptera
57,Apolygus lucorum,Apolygus lucorum,Apolygus,Miridae,Hemiptera
58,Limacodidae,, ,Limacodidae,Lepidoptera
59,Viteus vitifoliae,Viteus vitifoliae,Viteus,Phylloxeridae,Hemiptera
60,Colomerus vitis,Colomerus vitis,Colomerus,Eriophyidae,Acari
61,Brevipoalpus lewisi McGregor,Brevipalpus lewisi,Brevipalpus,Tenuipalpidae,Acari
62,oides decempunctata,Oides decempunctata,Oides,Chrysomelidae,Coleoptera
63,Polyphagotars onemus latus,Polyphagotarsonemus latus,Polyphagotarsonemus,Tarsonemidae,Acari
64,Pseudococcus comstocki Kuwana,Pseudococcus comstocki,Pseudococcus,Pseudococcidae,Hemiptera
65,parathrene regalis,Parathrene regalis,Parathrene,Sesiidae,Lepidoptera
66,Ampelophaga,Ampelophaga,Ampelophaga,Sphingidae,Lepidoptera
67,Lycorma delicatula,Lycorma delicatula,Lycorma,Fulgoridae,Hemiptera
68,Xylotrechus,Xylotrechus,Xylotrechus,Cerambycidae,Coleoptera
69,Cicadella viridis,Cicadella viridis,Cicadella,Cicadellidae,Hemiptera
70,Miridae,, ,Miridae,Hemiptera
71,Trialeurodes vaporariorum,Trialeurodes vaporariorum,Trialeurodes,Aleyrodidae,Hemiptera
72,Erythroneura apicalis,Erythroneura apicalis,Erythroneura,Cicadellidae,Hemiptera
73,Papilio xuthus,Papilio xuthus,Papilio,Papilionidae,Lepidoptera
74,Panonchus citri McGregor,Panonychus citri,Panonychus,Tetranychidae,Acari
75,Phyllocoptes oleiverus ashmead,Phyllocoptes oleivorus,Phyllocoptes,Eriophyidae,Acari
76,Icerya purchasi Maskell,Icerya purchasi,Icerya,Monophlebidae,Hemiptera
77,Unaspis yanonensis,Unaspis yanonensis,Unaspis,Diaspididae,Hemiptera
78,Ceroplastes rubens,Ceroplastes rubens,Ceroplastes,Coccidae,Hemiptera
79,Chrysomphalus aonidum,Chrysomphalus aonidum,Chrysomphalus,Diaspididae,Hemiptera
80,Parlatoria zizyphus Lucus,Parlatoria ziziphi,Parlatoria,Diaspididae,Hemiptera
81,Nipaecoccus vastalor,Nipaecoccus vastator,Nipaecoccus,Pseudococcidae,Hemiptera
82,Aleurocanthus spiniferus,Aleurocanthus spiniferus,Aleurocanthus,Aleyrodidae,Hemiptera
83,Tetradacus c Bactrocera minax,Bactrocera minax,Bactrocera,Tephritidae,Diptera
84,Dacus dorsalis(Hendel),Bactrocera dorsalis,Bactrocera,Tephritidae,Diptera
85,Bactrocera tsuneonis,Bactrocera tsuneonis,Bactrocera,Tephritidae,Diptera
86,Prodenia litura,Spodoptera litura,Spodoptera,Noctuidae,Lepidoptera
87,Adristyrannus,Adristyrannus,Adristyrannus,Cicadellidae,Hemiptera
88,Phyllocnistis citrella Stainton,Phyllocnistis citrella,Phyllocnistis,Gracillariidae,Lepidoptera
89,Toxoptera citricidus,Toxoptera citricidus,Toxoptera,Aphididae,Hemiptera
90,Toxoptera aurantii,Toxoptera aurantii,Toxoptera,Aphididae,Hemiptera
91,Aphis citricola Vander Goot,Aphis citricola,Aphis,Aphididae,Hemiptera
92,Scirtothrips dorsalis Hood,Scirtothrips dorsalis,Scirtothrips,Thripidae,Thysanoptera
93,Dasineura sp,Dasineura,Dasineura,Cecidomyiidae,Diptera
94,Lawana imitata Melichar,Lawana imitata,Lawana,Flatidae,Hemiptera
95,Salurnis marginella Guerr,Salurnis marginella,Salurnis,Ricaniidae,Hemiptera
96,Deporaus marginatus Pascoe,Deporaus marginatus,Deporaus,Attelabidae,Coleoptera
97,Chlumetia transversa,Chlumetia transversa,Chlumetia,Noctuidae,Lepidoptera
98,Mango flat beak leafhopper,Idioscopus clypealis,Idioscopus,Cicadellidae,Hemiptera
99,Rhytidodera bowrinii white,Rhytidodera bowringii,Rhytidodera,Cerambycidae,Coleoptera
100,Sternochetus frigidus,Sternochetus frigidus,Sternochetus,Curculionidae,Coleoptera
101,Cicadellidae,,,Cicadellidae,Hemiptera
